Gen:0, C1CCCCC1, [ 1.  -3.7] 
Gen:1, C1CCCCCC1, [ 1.  -4.2] 
Gen:2, C1CCCCCC1, [ 1.  -4.2] 
Gen:3, C1CCCCCC1, [ 1.  -4.2] 
Gen:4, C1CCCCCC1, [ 1.  -4.2] 
Gen:5, C1CCCCCC1, [ 1.  -4.2] 
Gen:6, C1CCCCCC1, [ 1.  -4.2] 
Gen:7, C1CCCCCC1, [ 1.  -4.2] 
Gen:8, C1CCCCCC1, [ 1.  -4.2] 
Gen:9, C1CCCCCC1, [ 1.  -4.2] 
Gen:10, C1CCCCCC1, [ 1.  -4.2] 
Gen:11, C1CCCCCC1, [ 1.  -4.2] 
Gen:12, C1CCCCCC1, [ 1.  -4.2] 
Gen:13, C1CCCCCC1, [ 1.  -4.2] 
Gen:14, C1CCCCCC1, [ 1.  -4.2] 
Gen:15, C1CCCCCC1, [ 1.  -4.2] 
Gen:16, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:17, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:18, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:19, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:20, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:21, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:22, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:23, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:24, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:25, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:26, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:27, C1CCCCCCCC1, [ 1.  -4.9] 
Gen:28, C1CCCCCCCCC1, [ 1. -5.] 
Gen:29, C1CCCCCCCCC1, [ 1. -5.] 
Gen:30, C1CCCCCCCCC1, [ 1. -5.] 
Gen:31, C1CCCCCCCCC1, [ 1. -5.] 
Gen:32, C1CCCCCCCCC1, [ 1. -5.] 
Gen:33, C1CCCCCCCCC1, [ 1. -5.] 
Gen:34, C1CCCCCCCCC1, [ 1. -5.] 
Gen:35, C1CCCCCCCCC1, [ 1. -5.] 
Gen:36, C1CCCCCCCCC1, [ 1. -5.] 
Gen:37, C1CCCCCCCCC1, [ 1. -5.] 
Gen:38, C1CCCCCCCCC1, [ 1. -5.] 
Gen:39, C1CCCCCCCCC1, [ 1. -5.] 
Gen:40, C1CCCCCCCCC1, [ 1. -5.] 
Gen:41, C1CCCCCCCCC1, [ 1. -5.] 
Gen:42, C1CCCCCCCCC1, [ 1. -5.] 
Gen:43, C1CCCCCCCCC1, [ 1. -5.] 
Gen:44, C1CCCCCCCCC1, [ 1. -5.] 
Gen:45, C1CCCCCCCCC1, [ 1. -5.] 
Gen:46, C1CCCCCCCCC1, [ 1. -5.] 
Gen:47, C1CCCCCCCCC1, [ 1. -5.] 
Gen:48, C1CCCCCCCCC1, [ 1. -5.] 
Gen:49, C1CCCCCCCCC1, [ 1. -5.] 
Gen:50, C1CCCCCCCCC1, [ 1. -5.] 
